"券商","買進","賣出","買賣超","佔成交比重","日期"
"永豐金-信義","0","73","73","15.11%","2017-10-26"
"瑞士信貸","2","26","24","4.97%","2017-10-26"
"元大-新盛","0","20","20","4.14%","2017-10-26"
"鑫豐","0","20","20","4.14%","2017-10-26"
"凱基-幸福","0","12","12","2.48%","2017-10-26"
"元富-延平","0","11","11","2.28%","2017-10-26"
"統一-桃園","0","10","10","2.07%","2017-10-26"
"凱基-復興","0","10","10","2.07%","2017-10-26"
"華南永昌","0","10","10","2.07%","2017-10-26"
"美林","0","10","10","2.07%","2017-10-26"
"元富","0","10","10","2.07%","2017-10-26"
"元大-淡水","0","10","10","2.07%","2017-10-26"
"康和","0","8","8","1.66%","2017-10-26"
"凱基-台北","0","8","8","1.66%","2017-10-26"
"元富-城東","0","8","8","1.66%","2017-10-26"
"瑞士信貸","0","73","73","15.11%","2017-10-27"
"元大-鹿港","2","26","24","4.97%","2017-10-27"
"元大-土城","0","20","20","4.14%","2017-10-27"
"永豐金-彰化","0","20","20","4.14%","2017-10-27"
"富邦-高雄","0","12","12","2.48%","2017-10-27"
"新光-新竹","0","11","11","2.28%","2017-10-27"
"台新","0","10","10","2.07%","2017-10-27"
"元富-城東","0","10","10","2.07%","2017-10-27"
"凱基-復興","0","10","10","2.07%","2017-10-27"
"(牛牛牛)亞-網路","0","10","10","2.07%","2017-10-27"
"台灣摩根士丹利","0","10","10","2.07%","2017-10-27"
"群益金鼎-天母","0","10","10","2.07%","2017-10-27"
"永豐金-新店","0","8","8","1.66%","2017-10-27"
"統一","0","8","8","1.66%","2017-10-27"
"元富-永和","0","8","8","1.66%","2017-10-27"
"統一-板橋","0","73","73","15.11%","2017-10-30"
"美商高盛","2","26","24","4.97%","2017-10-30"
"瑞士信貸","0","20","20","4.14%","2017-10-30"
"元大-四維","0","20","20","4.14%","2017-10-30"
"元大-南海","0","12","12","2.48%","2017-10-30"
"永豐金-豐原","0","11","11","2.28%","2017-10-30"
"國泰-台中","0","10","10","2.07%","2017-10-30"
"元大-仁愛","0","10","10","2.07%","2017-10-30"
"中國信託","0","10","10","2.07%","2017-10-30"
"元大-發財","0","10","10","2.07%","2017-10-30"
"摩根大通","0","10","10","2.07%","2017-10-30"
"永豐金-台中","0","10","10","2.07%","2017-10-30"
"日盛-大墩","0","8","8","1.66%","2017-10-30"
"兆豐-三民","0","8","8","1.66%","2017-10-30"
"元大-花蓮","0","8","8","1.66%","2017-10-30"
"群益金鼎-總公司","0","73","73","15.11%","2017-10-31"
"凱基-復興","2","26","24","4.97%","2017-10-31"
"凱基-嘉義","0","20","20","4.14%","2017-10-31"
"台灣匯立證券","0","20","20","4.14%","2017-10-31"
"凱基-台東","0","12","12","2.48%","2017-10-31"
"兆豐-高雄","0","11","11","2.28%","2017-10-31"
"新光-新竹","0","10","10","2.07%","2017-10-31"
"永豐金-潮州","0","10","10","2.07%","2017-10-31"
"(牛牛牛)亞-網路","0","10","10","2.07%","2017-10-31"
"摩根大通","0","10","10","2.07%","2017-10-31"
"合庫證券","0","10","10","2.07%","2017-10-31"
"統一-中壢","0","10","10","2.07%","2017-10-31"
"元大-金門","0","8","8","1.66%","2017-10-31"
"元富-松德","0","8","8","1.66%","2017-10-31"
"永興-大墩","0","8","8","1.66%","2017-10-31"
"美林","0","73","73","15.11%","2017-11-1"
"元大-開元","2","26","24","4.97%","2017-11-1"
"臺銀","0","20","20","4.14%","2017-11-1"
"第一金-豐原","0","20","20","4.14%","2017-11-1"
"富邦-台北","0","12","12","2.48%","2017-11-1"
"國泰-台中","0","11","11","2.28%","2017-11-1"
"群益金鼎-屏東","0","10","10","2.07%","2017-11-1"
"臺銀-臺南","0","10","10","2.07%","2017-11-1"
"臺銀-臺中","0","10","10","2.07%","2017-11-1"
"中國信託","0","10","10","2.07%","2017-11-1"
"中國信託-三重","0","10","10","2.07%","2017-11-1"
"群益金鼎-建成","0","10","10","2.07%","2017-11-1"
"瑞士信貸","0","8","8","1.66%","2017-11-1"
"大昌","0","8","8","1.66%","2017-11-1"
"國泰-館前","0","8","8","1.66%","2017-11-1"
"華南永昌-大安","0","73","73","15.11%","2017-11-2"
"凱基-信義","2","26","24","4.97%","2017-11-2"
"元大-開元","0","20","20","4.14%","2017-11-2"
"凱基-幸福","0","20","20","4.14%","2017-11-2"
"中國信託","0","12","12","2.48%","2017-11-2"
"美林","0","11","11","2.28%","2017-11-2"
"富邦-苗栗","0","10","10","2.07%","2017-11-2"
"永豐金-信義","0","10","10","2.07%","2017-11-2"
"元大-仁愛","0","10","10","2.07%","2017-11-2"
"永豐金-豐原","0","10","10","2.07%","2017-11-2"
"臺銀","0","10","10","2.07%","2017-11-2"
"國泰-台中","0","10","10","2.07%","2017-11-2"
"(牛牛牛)亞-網路","0","8","8","1.66%","2017-11-2"
"凱基-中港","0","8","8","1.66%","2017-11-2"
"新光-台中","0","8","8","1.66%","2017-11-2"
"元大-經紀部","0","73","73","15.11%","2017-11-3"
"兆豐-埔墘","2","26","24","4.97%","2017-11-3"
"華南永昌","0","20","20","4.14%","2017-11-3"
"日盛-內湖","0","20","20","4.14%","2017-11-3"
"台灣摩根士丹利","0","12","12","2.48%","2017-11-3"
"瑞士信貸","0","11","11","2.28%","2017-11-3"
"日盛-忠孝","0","10","10","2.07%","2017-11-3"
"元大-竹北","0","10","10","2.07%","2017-11-3"
"群益金鼎-台北","0","10","10","2.07%","2017-11-3"
"永豐金-潮州","0","10","10","2.07%","2017-11-3"
"永豐金-信義","0","10","10","2.07%","2017-11-3"
"華南永昌-麻豆","0","10","10","2.07%","2017-11-3"
"元大-竹科","0","8","8","1.66%","2017-11-3"
"永豐金-敦南","0","8","8","1.66%","2017-11-3"
"新光","0","8","8","1.66%","2017-11-3"
"永豐金-經紀部","0","73","73","15.11%","2017-11-6"
"美商高盛","2","26","24","4.97%","2017-11-6"
"元大-經紀部","0","20","20","4.14%","2017-11-6"
"兆豐-忠孝","0","20","20","4.14%","2017-11-6"
"美林","0","12","12","2.48%","2017-11-6"
"兆豐-復興","0","11","11","2.28%","2017-11-6"
"元大-北成功","0","10","10","2.07%","2017-11-6"
"富邦-台北","0","10","10","2.07%","2017-11-6"
"港商麥格理","0","10","10","2.07%","2017-11-6"
"統一-三多","0","10","10","2.07%","2017-11-6"
"元大-竹北","0","10","10","2.07%","2017-11-6"
"玉山-台大","0","10","10","2.07%","2017-11-6"
"富邦-大同","0","8","8","1.66%","2017-11-6"
"永豐金-嘉義","0","8","8","1.66%","2017-11-6"
"永豐金-大稻埕","0","8","8","1.66%","2017-11-6"
"兆豐-高雄","0","73","73","15.11%","2017-11-7"
"富邦-經紀","2","26","24","4.97%","2017-11-7"
"光和-虎尾","0","20","20","4.14%","2017-11-7"
"元大-大雅","0","20","20","4.14%","2017-11-7"
"富邦-嘉義","0","12","12","2.48%","2017-11-7"
"元大-開元","0","11","11","2.28%","2017-11-7"
"台新","0","10","10","2.07%","2017-11-7"
"國票-安和","0","10","10","2.07%","2017-11-7"
"元富-大昌","0","10","10","2.07%","2017-11-7"
"元富-虎尾","0","10","10","2.07%","2017-11-7"
"新光-桃園","0","10","10","2.07%","2017-11-7"
"大慶-長榮","0","10","10","2.07%","2017-11-7"
"凱基-台北","0","8","8","1.66%","2017-11-7"
"新光-台中","0","8","8","1.66%","2017-11-7"
"國泰","0","8","8","1.66%","2017-11-7"
"玉山-大里","0","73","73","15.11%","2017-11-8"
"永豐金-經紀部","2","26","24","4.97%","2017-11-8"
"元大-華山","0","20","20","4.14%","2017-11-8"
"華南永昌","0","20","20","4.14%","2017-11-8"
"統一-板橋","0","12","12","2.48%","2017-11-8"
"日盛-復興","0","11","11","2.28%","2017-11-8"
"元大","0","10","10","2.07%","2017-11-8"
"玉山-新莊","0","10","10","2.07%","2017-11-8"
"華南永昌-南京","0","10","10","2.07%","2017-11-8"
"元大-大雅","0","10","10","2.07%","2017-11-8"
"元富-板橋","0","10","10","2.07%","2017-11-8"
"中國信託-雙和","0","10","10","2.07%","2017-11-8"
"元大-承德","0","8","8","1.66%","2017-11-8"
"華南永昌-東昇","0","8","8","1.66%","2017-11-8"
"元大-復北","0","8","8","1.66%","2017-11-8"
"富邦-經紀","0","73","73","15.11%","2017-11-9"
"富邦-嘉義","2","26","24","4.97%","2017-11-9"
"港商野村","0","20","20","4.14%","2017-11-9"
"統一","0","20","20","4.14%","2017-11-9"
"群益金鼎-大安","0","12","12","2.48%","2017-11-9"
"美林","0","11","11","2.28%","2017-11-9"
"日盛","0","10","10","2.07%","2017-11-9"
"富邦","0","10","10","2.07%","2017-11-9"
"元大-八德","0","10","10","2.07%","2017-11-9"
"永豐金-信義","0","10","10","2.07%","2017-11-9"
"國泰","0","10","10","2.07%","2017-11-9"
"永豐金-內湖","0","10","10","2.07%","2017-11-9"
"大鼎","0","8","8","1.66%","2017-11-9"
"元大-承德","0","8","8","1.66%","2017-11-9"
"(牛牛牛)亞證券","0","8","8","1.66%","2017-11-9"
"富邦-經紀","0","73","73","15.11%","2017-11-10"
"凱基-七賢","2","26","24","4.97%","2017-11-10"
"國泰","0","20","20","4.14%","2017-11-10"
"台新","0","20","20","4.14%","2017-11-10"
"兆豐-永和","0","12","12","2.48%","2017-11-10"
"兆豐-北高雄","0","11","11","2.28%","2017-11-10"
"富邦-延吉","0","10","10","2.07%","2017-11-10"
"元大-經紀部","0","10","10","2.07%","2017-11-10"
"富邦-高雄","0","10","10","2.07%","2017-11-10"
"統一-桃園","0","10","10","2.07%","2017-11-10"
"亞東","0","10","10","2.07%","2017-11-10"
"永豐金-古亭","0","10","10","2.07%","2017-11-10"
"台灣摩根士丹利","0","8","8","1.66%","2017-11-10"
"群益金鼎-三民","0","8","8","1.66%","2017-11-10"
"富邦-世貿","0","8","8","1.66%","2017-11-10"
"港商野村","0","73","73","15.11%","2017-11-13"
"瑞士信貸","2","26","24","4.97%","2017-11-13"
"美林","0","20","20","4.14%","2017-11-13"
"新光","0","20","20","4.14%","2017-11-13"
"群益金鼎-內湖","0","12","12","2.48%","2017-11-13"
"華南永昌-世貿","0","11","11","2.28%","2017-11-13"
"港商德意志","0","10","10","2.07%","2017-11-13"
"富邦-虎尾","0","10","10","2.07%","2017-11-13"
"陽信","0","10","10","2.07%","2017-11-13"
"兆豐-虎尾","0","10","10","2.07%","2017-11-13"
"富邦-台北","0","10","10","2.07%","2017-11-13"
"凱基-士林","0","10","10","2.07%","2017-11-13"
"永豐金-府城","0","8","8","1.66%","2017-11-13"
"元富-四維","0","8","8","1.66%","2017-11-13"
"富邦-經紀","0","8","8","1.66%","2017-11-13"
"富邦-世貿","0","73","73","15.11%","2017-11-14"
"大展","2","26","24","4.97%","2017-11-14"
"花旗環球","0","20","20","4.14%","2017-11-14"
"永豐金-市政","0","20","20","4.14%","2017-11-14"
"群益金鼎-經國","0","12","12","2.48%","2017-11-14"
"日盛","0","11","11","2.28%","2017-11-14"
"永豐金-博愛","0","10","10","2.07%","2017-11-14"
"永豐金-古亭","0","10","10","2.07%","2017-11-14"
"元大-八德","0","10","10","2.07%","2017-11-14"
"新光","0","10","10","2.07%","2017-11-14"
"富邦-桃園","0","10","10","2.07%","2017-11-14"
"日盛-內湖","0","10","10","2.07%","2017-11-14"
"德信","0","8","8","1.66%","2017-11-14"
"凱基-市府","0","8","8","1.66%","2017-11-14"
"兆豐-埔墘","0","8","8","1.66%","2017-11-14"
"港商野村","0","73","73","15.11%","2017-11-15"
"群益金鼎-大安","2","26","24","4.97%","2017-11-15"
"元大-大雅","0","20","20","4.14%","2017-11-15"
"永豐金-南京","0","20","20","4.14%","2017-11-15"
"元大-八德","0","12","12","2.48%","2017-11-15"
"玉山-台中","0","11","11","2.28%","2017-11-15"
"國泰-松江","0","10","10","2.07%","2017-11-15"
"元大-開元","0","10","10","2.07%","2017-11-15"
"富邦-延吉","0","10","10","2.07%","2017-11-15"
"永豐金-古亭","0","10","10","2.07%","2017-11-15"
"兆豐-台南","0","10","10","2.07%","2017-11-15"
"富邦-台北","0","10","10","2.07%","2017-11-15"
"元大-羅東","0","8","8","1.66%","2017-11-15"
"國泰","0","8","8","1.66%","2017-11-15"
"台新","0","8","8","1.66%","2017-11-15"
"瑞士信貸","0","73","73","15.11%","2017-11-16"
"群益金鼎-大安","2","26","24","4.97%","2017-11-16"
"華南永昌-世貿","0","20","20","4.14%","2017-11-16"
"永豐金-博愛","0","20","20","4.14%","2017-11-16"
"港商德意志","0","12","12","2.48%","2017-11-16"
"華南永昌-竹北","0","11","11","2.28%","2017-11-16"
"台中銀-豐原","0","10","10","2.07%","2017-11-16"
"統一-高雄","0","10","10","2.07%","2017-11-16"
"元大-新壢","0","10","10","2.07%","2017-11-16"
"大展","0","10","10","2.07%","2017-11-16"
"華南永昌-中正","0","10","10","2.07%","2017-11-16"
"永豐金-府城","0","10","10","2.07%","2017-11-16"
"元大-西門","0","8","8","1.66%","2017-11-16"
"土銀-玉里","0","8","8","1.66%","2017-11-16"
"美林","0","8","8","1.66%","2017-11-16"
"群益金鼎-大安","0","73","73","15.11%","2017-11-17"
"永豐金-市政","2","26","24","4.97%","2017-11-17"
"元大-竹北","0","20","20","4.14%","2017-11-17"
"華南永昌-竹北","0","20","20","4.14%","2017-11-17"
"永豐金-古亭","0","12","12","2.48%","2017-11-17"
"新光","0","11","11","2.28%","2017-11-17"
"華南永昌-中正","0","10","10","2.07%","2017-11-17"
"合庫-鳳山","0","10","10","2.07%","2017-11-17"
"永豐金-桃中","0","10","10","2.07%","2017-11-17"
"兆豐-南門","0","10","10","2.07%","2017-11-17"
"元大-鑫永和","0","10","10","2.07%","2017-11-17"
"玉山","0","10","10","2.07%","2017-11-17"
"元富-中原","0","8","8","1.66%","2017-11-17"
"元大-桃園","0","8","8","1.66%","2017-11-17"
"元大-楊梅","0","8","8","1.66%","2017-11-17"
"元大-開元","0","73","73","15.11%","2017-11-20"
"統一","2","26","24","4.97%","2017-11-20"
"新光","0","20","20","4.14%","2017-11-20"
"群益金鼎-中港","0","20","20","4.14%","2017-11-20"
"元富-延平","0","12","12","2.48%","2017-11-20"
"群益金鼎-東門","0","11","11","2.28%","2017-11-20"
"大慶-長榮","0","10","10","2.07%","2017-11-20"
"台新-復興","0","10","10","2.07%","2017-11-20"
"台新","0","10","10","2.07%","2017-11-20"
"康和-仁愛","0","10","10","2.07%","2017-11-20"
"永豐金-三民","0","10","10","2.07%","2017-11-20"
"國泰-板橋","0","10","10","2.07%","2017-11-20"
"永豐金-中和","0","8","8","1.66%","2017-11-20"
"凱基-台北","0","8","8","1.66%","2017-11-20"
"港商野村","0","8","8","1.66%","2017-11-20"
"瑞士信貸","0","73","73","15.11%","2017-11-21"
"元大-大安","2","26","24","4.97%","2017-11-21"
"永豐金-桃園","0","20","20","4.14%","2017-11-21"
"華南永昌-南京","0","20","20","4.14%","2017-11-21"
"元大-新盛","0","12","12","2.48%","2017-11-21"
"美林","0","11","11","2.28%","2017-11-21"
"華南永昌","0","10","10","2.07%","2017-11-21"
"統一-桃園","0","10","10","2.07%","2017-11-21"
"華南永昌-台中","0","10","10","2.07%","2017-11-21"
"台灣摩根士丹利","0","10","10","2.07%","2017-11-21"
"永豐金-高雄","0","10","10","2.07%","2017-11-21"
"美商高盛","0","10","10","2.07%","2017-11-21"
"永豐金-博愛","0","8","8","1.66%","2017-11-21"
"統一-板橋","0","8","8","1.66%","2017-11-21"
"群益金鼎-海山","0","8","8","1.66%","2017-11-21"
"元大","0","73","73","15.11%","2017-11-22"
"永豐金-高雄","2","26","24","4.97%","2017-11-22"
"港商德意志","0","20","20","4.14%","2017-11-22"
"華南永昌-世貿","0","20","20","4.14%","2017-11-22"
"新光","0","12","12","2.48%","2017-11-22"
"永豐金-經紀部","0","11","11","2.28%","2017-11-22"
"凱基-中壢","0","10","10","2.07%","2017-11-22"
"台新","0","10","10","2.07%","2017-11-22"
"元大-北投","0","10","10","2.07%","2017-11-22"
"統一-內湖","0","10","10","2.07%","2017-11-22"
"永豐金-博愛","0","10","10","2.07%","2017-11-22"
"華南永昌-南京","0","10","10","2.07%","2017-11-22"
"統一-台中","0","8","8","1.66%","2017-11-22"
"元大-南京","0","8","8","1.66%","2017-11-22"
"富邦-木柵","0","8","8","1.66%","2017-11-22"
"富邦-高雄","0","73","73","15.11%","2017-11-23"
"元大","2","26","24","4.97%","2017-11-23"
"統一-內湖","0","20","20","4.14%","2017-11-23"
"元大-大安","0","20","20","4.14%","2017-11-23"
"富邦-嘉義","0","12","12","2.48%","2017-11-23"
"凱基-大里","0","11","11","2.28%","2017-11-23"
"群益金鼎-大安","0","10","10","2.07%","2017-11-23"
"元大-水湳","0","10","10","2.07%","2017-11-23"
"亞東","0","10","10","2.07%","2017-11-23"
"元大-嘉義","0","10","10","2.07%","2017-11-23"
"永豐金-經紀部","0","10","10","2.07%","2017-11-23"
"永豐金-嘉義","0","10","10","2.07%","2017-11-23"
"土銀-新竹","0","8","8","1.66%","2017-11-23"
"凱基-市政","0","8","8","1.66%","2017-11-23"
"統一-板橋","0","8","8","1.66%","2017-11-23"
"港商野村","0","73","73","15.11%","2017-11-24"
"凱基-復興","2","26","24","4.97%","2017-11-24"
"永豐金-經紀部","0","20","20","4.14%","2017-11-24"
"元大","0","20","20","4.14%","2017-11-24"
"元大-大安","0","12","12","2.48%","2017-11-24"
"群益金鼎-經國","0","11","11","2.28%","2017-11-24"
"永豐金-萬盛","0","10","10","2.07%","2017-11-24"
"永豐金-內湖","0","10","10","2.07%","2017-11-24"
"元大-水湳","0","10","10","2.07%","2017-11-24"
"凱基-和平","0","10","10","2.07%","2017-11-24"
"富邦-虎尾","0","10","10","2.07%","2017-11-24"
"華南永昌-忠孝","0","10","10","2.07%","2017-11-24"
"永豐金-三重","0","8","8","1.66%","2017-11-24"
"兆豐-虎尾","0","8","8","1.66%","2017-11-24"
"元大-新竹","0","8","8","1.66%","2017-11-24"
"元大","0","73","73","15.11%","2017-11-27"
"港商野村","2","26","24","4.97%","2017-11-27"
"永豐金-信義","0","20","20","4.14%","2017-11-27"
"富邦-嘉義","0","20","20","4.14%","2017-11-27"
"元大-館前","0","12","12","2.48%","2017-11-27"
"統一-內湖","0","11","11","2.28%","2017-11-27"
"兆豐-內湖","0","10","10","2.07%","2017-11-27"
"日盛-新莊","0","10","10","2.07%","2017-11-27"
"富邦-台北","0","10","10","2.07%","2017-11-27"
"永豐金-南京","0","10","10","2.07%","2017-11-27"
"福勝","0","10","10","2.07%","2017-11-27"
"元富-四維","0","10","10","2.07%","2017-11-27"
"國票-安和","0","8","8","1.66%","2017-11-27"
"凱基-和平","0","8","8","1.66%","2017-11-27"
"凱基-大里","0","8","8","1.66%","2017-11-27"
"富邦-台北","0","73","73","15.11%","2017-11-28"
"富邦-經紀","2","26","24","4.97%","2017-11-28"
"(牛牛牛)亞-網路","0","20","20","4.14%","2017-11-28"
"華南永昌-大安","0","20","20","4.14%","2017-11-28"
"永豐金-信義","0","12","12","2.48%","2017-11-28"
"元大","0","11","11","2.28%","2017-11-28"
"華南永昌-內壢","0","10","10","2.07%","2017-11-28"
"統一-內湖","0","10","10","2.07%","2017-11-28"
"永豐金-嘉義","0","10","10","2.07%","2017-11-28"
"合庫-嘉義","0","10","10","2.07%","2017-11-28"
"兆豐-內湖","0","10","10","2.07%","2017-11-28"
"新光","0","10","10","2.07%","2017-11-28"
"德信-台北(停)","0","8","8","1.66%","2017-11-28"
"永豐金-天母","0","8","8","1.66%","2017-11-28"
"兆豐-中壢","0","8","8","1.66%","2017-11-28"
"群益金鼎-瑞豐","0","73","73","15.11%","2017-11-29"
"元大-八德","2","26","24","4.97%","2017-11-29"
"港商野村","0","20","20","4.14%","2017-11-29"
"統一-高雄","0","20","20","4.14%","2017-11-29"
"華南永昌-大安","0","12","12","2.48%","2017-11-29"
"華南永昌-忠孝","0","11","11","2.28%","2017-11-29"
"新加坡商瑞銀","0","10","10","2.07%","2017-11-29"
"凱基-城中","0","10","10","2.07%","2017-11-29"
"台中銀-員林","0","10","10","2.07%","2017-11-29"
"富邦-中壢","0","10","10","2.07%","2017-11-29"
"富邦-敦南","0","10","10","2.07%","2017-11-29"
"凱基-中壢","0","10","10","2.07%","2017-11-29"
"宏遠","0","8","8","1.66%","2017-11-29"
"日盛-內湖","0","8","8","1.66%","2017-11-29"
"大展","0","8","8","1.66%","2017-11-29"
"群益金鼎-大安","0","73","73","15.11%","2017-11-30"
"元大-大雅","2","26","24","4.97%","2017-11-30"
"(牛牛牛)亞-網路","0","20","20","4.14%","2017-11-30"
"凱基-和平","0","20","20","4.14%","2017-11-30"
"群益金鼎-南三重","0","12","12","2.48%","2017-11-30"
"元大-八德","0","11","11","2.28%","2017-11-30"
"台灣摩根士丹利","0","10","10","2.07%","2017-11-30"
"群益金鼎-中港","0","10","10","2.07%","2017-11-30"
"康和-永和","0","10","10","2.07%","2017-11-30"
"華南永昌-大安","0","10","10","2.07%","2017-11-30"
"元大-南京","0","10","10","2.07%","2017-11-30"
"新光","0","10","10","2.07%","2017-11-30"
"群益金鼎-古亭","0","8","8","1.66%","2017-11-30"
"元大-六合","0","8","8","1.66%","2017-11-30"
"中農","0","8","8","1.66%","2017-11-30"
"港商德意志","0","73","73","15.11%","2017-12-1"
"元大-雙和","2","26","24","4.97%","2017-12-1"
"美商高盛","0","20","20","4.14%","2017-12-1"
"群益金鼎-經國","0","20","20","4.14%","2017-12-1"
"元大-土城永寧","0","12","12","2.48%","2017-12-1"
"凱基-和平","0","11","11","2.28%","2017-12-1"
"群益金鼎-嘉義","0","10","10","2.07%","2017-12-1"
"瑞士信貸","0","10","10","2.07%","2017-12-1"
"凱基-中港","0","10","10","2.07%","2017-12-1"
"台灣摩根士丹利","0","10","10","2.07%","2017-12-1"
"中國信託","0","10","10","2.07%","2017-12-1"
"富邦-延吉","0","10","10","2.07%","2017-12-1"
"兆豐-中壢","0","8","8","1.66%","2017-12-1"
"群益金鼎-台南","0","8","8","1.66%","2017-12-1"
"大慶-中壢","0","8","8","1.66%","2017-12-1"
"元大-嘉義","0","73","73","15.11%","2017-12-4"
"群益金鼎-南三重","2","26","24","4.97%","2017-12-4"
"凱基-市政","0","20","20","4.14%","2017-12-4"
"永豐金-板新","0","20","20","4.14%","2017-12-4"
"凱基-中壢","0","12","12","2.48%","2017-12-4"
"元大-八德","0","11","11","2.28%","2017-12-4"
"臺銀-新竹","0","10","10","2.07%","2017-12-4"
"台灣摩根士丹利","0","10","10","2.07%","2017-12-4"
"群益金鼎-嘉義","0","10","10","2.07%","2017-12-4"
"國泰-忠孝","0","10","10","2.07%","2017-12-4"
"元大-博愛","0","10","10","2.07%","2017-12-4"
"永豐金-桃園","0","10","10","2.07%","2017-12-4"
"凱基-汐止","0","8","8","1.66%","2017-12-4"
"華南永昌-大安","0","8","8","1.66%","2017-12-4"
"凱基-土城","0","8","8","1.66%","2017-12-4"
"永豐金-信義","0","73","73","15.11%","2017-12-5"
"(牛牛牛)亞-網路","2","26","24","4.97%","2017-12-5"
"大展","0","20","20","4.14%","2017-12-5"
"凱基-和平","0","20","20","4.14%","2017-12-5"
"港商德意志","0","12","12","2.48%","2017-12-5"
"統一","0","11","11","2.28%","2017-12-5"
"元大-敦化","0","10","10","2.07%","2017-12-5"
"富邦-嘉義","0","10","10","2.07%","2017-12-5"
"凱基-信義","0","10","10","2.07%","2017-12-5"
"新光-台南","0","10","10","2.07%","2017-12-5"
"永豐金-嘉義","0","10","10","2.07%","2017-12-5"
"台灣摩根士丹利","0","10","10","2.07%","2017-12-5"
"新加坡商瑞銀","0","8","8","1.66%","2017-12-5"
"統一-敦南","0","8","8","1.66%","2017-12-5"
"華南永昌","0","8","8","1.66%","2017-12-5"
"永豐金-高雄","0","73","73","15.11%","2017-12-6"
"富邦-世貿","2","26","24","4.97%","2017-12-6"
"永豐金-萬盛","0","20","20","4.14%","2017-12-6"
"華南永昌-竹北","0","20","20","4.14%","2017-12-6"
"第一金-高雄","0","12","12","2.48%","2017-12-6"
"大鼎","0","11","11","2.28%","2017-12-6"
"(牛牛牛)亞-網路","0","10","10","2.07%","2017-12-6"
"日盛-復興","0","10","10","2.07%","2017-12-6"
"日盛-板橋","0","10","10","2.07%","2017-12-6"
"永豐金-經紀部","0","10","10","2.07%","2017-12-6"
"德信","0","10","10","2.07%","2017-12-6"
"元大-福營","0","10","10","2.07%","2017-12-6"
"永豐金-天母","0","8","8","1.66%","2017-12-6"
"國泰-忠孝","0","8","8","1.66%","2017-12-6"
"宏遠","0","8","8","1.66%","2017-12-6"
"富邦-世貿","0","73","73","15.11%","2017-12-7"
"台新","2","26","24","4.97%","2017-12-7"
"大展","0","20","20","4.14%","2017-12-7"
"玉山-高雄","0","20","20","4.14%","2017-12-7"
"凱基-復興","0","12","12","2.48%","2017-12-7"
"永豐金-中和","0","11","11","2.28%","2017-12-7"
"凱基-和平","0","10","10","2.07%","2017-12-7"
"群益金鼎-經國","0","10","10","2.07%","2017-12-7"
"新光-台中","0","10","10","2.07%","2017-12-7"
"永豐金-中正","0","10","10","2.07%","2017-12-7"
"元大-土城永寧","0","10","10","2.07%","2017-12-7"
"統一","0","10","10","2.07%","2017-12-7"
"宏遠-台中","0","8","8","1.66%","2017-12-7"
"第一金","0","8","8","1.66%","2017-12-7"
"國泰-松江","0","8","8","1.66%","2017-12-7"
"群益金鼎-萬華","0","73","73","15.11%","2017-12-8"
"凱基-大直","2","26","24","4.97%","2017-12-8"
"凱基-復興","0","20","20","4.14%","2017-12-8"
"新光","0","20","20","4.14%","2017-12-8"
"元大-經紀部","0","12","12","2.48%","2017-12-8"
"中國信託-高雄","0","11","11","2.28%","2017-12-8"
"華南永昌-大安","0","10","10","2.07%","2017-12-8"
"富邦-陽明","0","10","10","2.07%","2017-12-8"
"國票-天祥","0","10","10","2.07%","2017-12-8"
"華南永昌-竹北","0","10","10","2.07%","2017-12-8"
"元大","0","10","10","2.07%","2017-12-8"
"兆豐-高雄","0","10","10","2.07%","2017-12-8"
"永豐金-南京","0","8","8","1.66%","2017-12-8"
"元大-南屯","0","8","8","1.66%","2017-12-8"
"國泰-板橋","0","8","8","1.66%","2017-12-8"
"群益金鼎-大安","0","73","73","15.11%","2017-12-11"
"富邦-經紀","2","26","24","4.97%","2017-12-11"
"玉山","0","20","20","4.14%","2017-12-11"
"瑞士信貸","0","20","20","4.14%","2017-12-11"
"大鼎","0","12","12","2.48%","2017-12-11"
"美林","0","11","11","2.28%","2017-12-11"
"華南永昌-竹北","0","10","10","2.07%","2017-12-11"
"港商法國興業","0","10","10","2.07%","2017-12-11"
"永豐金-信義","0","10","10","2.07%","2017-12-11"
"凱基-台北","0","10","10","2.07%","2017-12-11"
"台灣摩根士丹利","0","10","10","2.07%","2017-12-11"
"港商德意志","0","10","10","2.07%","2017-12-11"
"凱基-信義","0","8","8","1.66%","2017-12-11"
"群益金鼎-南三重","0","8","8","1.66%","2017-12-11"
"統一","0","8","8","1.66%","2017-12-11"
"兆豐-北高雄","0","73","73","15.11%","2017-12-12"
"港商德意志","2","26","24","4.97%","2017-12-12"
"華南永昌-中正","0","20","20","4.14%","2017-12-12"
"元大-松山","0","20","20","4.14%","2017-12-12"
"國票-長城","0","12","12","2.48%","2017-12-12"
"凱基-復興","0","11","11","2.28%","2017-12-12"
"臺灣企銀-桃園","0","10","10","2.07%","2017-12-12"
"永豐金-光復","0","10","10","2.07%","2017-12-12"
"元富-嘉義","0","10","10","2.07%","2017-12-12"
"永豐金-中壢","0","10","10","2.07%","2017-12-12"
"香港上海匯豐","0","10","10","2.07%","2017-12-12"
"統一","0","10","10","2.07%","2017-12-12"
"元大-大雅","0","8","8","1.66%","2017-12-12"
"富邦-世貿","0","8","8","1.66%","2017-12-12"
