"券商","買進","賣出","買賣超","佔成交比重","日期"
"光隆","10","1","9","1.86%","2017-11-1"
"瑞士信貸","0","8","8","1.66%","2017-11-1"
"新光","8","0","8","1.66%","2017-11-1"
"大昌","0","8","8","1.66%","2017-11-1"
"元大-北成功","8","1","7","1.45%","2017-11-1"
"國泰-館前","0","8","8","1.66%","2017-11-1"
"群益金鼎-大安","48","7","41","8.49%","2017-11-2"
"華南永昌-大安","0","73","73","15.11%","2017-11-2"
"新加坡商瑞銀","29","0","29","6%","2017-11-2"
"凱基-信義","2","26","24","4.97%","2017-11-2"
"華南永昌","27","0","27","5.59%","2017-11-2"
"元大-開元","0","20","20","4.14%","2017-11-2"
"光和-虎尾","23","0","23","4.76%","2017-11-2"
"凱基-幸福","0","20","20","4.14%","2017-11-2"
"富邦-經紀","15","0","15","3.11%","2017-11-2"
"中國信託","0","12","12","2.48%","2017-11-2"
"元大-經紀部","13","0","13","2.69%","2017-11-2"
"美林","0","11","11","2.28%","2017-11-2"
"日盛-內湖","16","5","11","2.28%","2017-11-2"
"富邦-苗栗","0","10","10","2.07%","2017-11-2"
"兆豐-高雄","10","0","10","2.07%","2017-11-2"
"永豐金-信義","0","10","10","2.07%","2017-11-2"
"台灣摩根士丹利","10","0","10","2.07%","2017-11-2"
"元大-仁愛","0","10","10","2.07%","2017-11-2"
"元富-虎尾","10","0","10","2.07%","2017-11-2"
"永豐金-豐原","0","10","10","2.07%","2017-11-2"
"兆豐-忠孝","10","0","10","2.07%","2017-11-2"
"臺銀","0","10","10","2.07%","2017-11-2"
"富邦-高雄","9","0","9","1.86%","2017-11-2"
"國泰-台中","0","10","10","2.07%","2017-11-2"
"永豐金-古亭","10","1","9","1.86%","2017-11-2"
"(牛牛牛)亞-網路","0","8","8","1.66%","2017-11-2"
"凱基-總公司","8","0","8","1.66%","2017-11-2"
"凱基-中港","0","8","8","1.66%","2017-11-2"
"國泰","8","1","7","1.45%","2017-11-2"
"新光-台中","0","8","8","1.66%","2017-11-2"
"永豐金-古亭","48","7","41","8.49%","2017-11-3"
"元大-經紀部","0","73","73","15.11%","2017-11-3"
"美林","29","0","29","6%","2017-11-3"
"兆豐-埔墘","2","26","24","4.97%","2017-11-3"
"元大-大雅","27","0","27","5.59%","2017-11-3"
"華南永昌","0","20","20","4.14%","2017-11-3"
"富邦-延吉","23","0","23","4.76%","2017-11-3"
"日盛-內湖","0","20","20","4.14%","2017-11-3"
"亞東","15","0","15","3.11%","2017-11-3"
"台灣摩根士丹利","0","12","12","2.48%","2017-11-3"
"臺銀-金山","13","0","13","2.69%","2017-11-3"
"瑞士信貸","0","11","11","2.28%","2017-11-3"
"臺銀","16","5","11","2.28%","2017-11-3"
"日盛-忠孝","0","10","10","2.07%","2017-11-3"
"富邦-台北","10","0","10","2.07%","2017-11-3"
"元大-竹北","0","10","10","2.07%","2017-11-3"
"鑫豐","10","0","10","2.07%","2017-11-3"
"群益金鼎-台北","0","10","10","2.07%","2017-11-3"
"群益金鼎-新莊","10","0","10","2.07%","2017-11-3"
"永豐金-潮州","0","10","10","2.07%","2017-11-3"
"元富-信義","10","0","10","2.07%","2017-11-3"
"永豐金-信義","0","10","10","2.07%","2017-11-3"
"元大-台中中港","9","0","9","1.86%","2017-11-3"
"華南永昌-麻豆","0","10","10","2.07%","2017-11-3"
"元大-楊梅","10","1","9","1.86%","2017-11-3"
"元大-竹科","0","8","8","1.66%","2017-11-3"
"國泰-台中","8","0","8","1.66%","2017-11-3"
"永豐金-敦南","0","8","8","1.66%","2017-11-3"
"富邦-民生","8","1","7","1.45%","2017-11-3"
"新光","0","8","8","1.66%","2017-11-3"
"台灣摩根士丹利","48","7","41","8.49%","2017-11-6"
"永豐金-經紀部","0","73","73","15.11%","2017-11-6"
"富邦-嘉義","29","0","29","6%","2017-11-6"
"美商高盛","2","26","24","4.97%","2017-11-6"
"統一-城中","27","0","27","5.59%","2017-11-6"
"元大-經紀部","0","20","20","4.14%","2017-11-6"
"德信","23","0","23","4.76%","2017-11-6"
"兆豐-忠孝","0","20","20","4.14%","2017-11-6"
"華南永昌-南京","15","0","15","3.11%","2017-11-6"
"美林","0","12","12","2.48%","2017-11-6"
"元大-大松山","13","0","13","2.69%","2017-11-6"
"兆豐-復興","0","11","11","2.28%","2017-11-6"
"臺銀-臺中","16","5","11","2.28%","2017-11-6"
"元大-北成功","0","10","10","2.07%","2017-11-6"
"永豐金-信義","10","0","10","2.07%","2017-11-6"
"富邦-台北","0","10","10","2.07%","2017-11-6"
"永豐金-豐原","10","0","10","2.07%","2017-11-6"
"港商麥格理","0","10","10","2.07%","2017-11-6"
"港商野村","10","0","10","2.07%","2017-11-6"
"統一-三多","0","10","10","2.07%","2017-11-6"
"大慶-長榮","10","0","10","2.07%","2017-11-6"
"元大-竹北","0","10","10","2.07%","2017-11-6"
"國泰-忠孝","9","0","9","1.86%","2017-11-6"
"玉山-台大","0","10","10","2.07%","2017-11-6"
"中國信託","10","1","9","1.86%","2017-11-6"
"富邦-大同","0","8","8","1.66%","2017-11-6"
"富邦-苗栗","8","0","8","1.66%","2017-11-6"
"永豐金-嘉義","0","8","8","1.66%","2017-11-6"
"統一","8","1","7","1.45%","2017-11-6"
"永豐金-大稻埕","0","8","8","1.66%","2017-11-6"
"華南永昌-中正","48","7","41","8.49%","2017-11-7"
"兆豐-高雄","0","73","73","15.11%","2017-11-7"
"國票-長城","29","0","29","6%","2017-11-7"
"富邦-經紀","2","26","24","4.97%","2017-11-7"
"港商野村","27","0","27","5.59%","2017-11-7"
"光和-虎尾","0","20","20","4.14%","2017-11-7"
"永豐金-經紀部","23","0","23","4.76%","2017-11-7"
"元大-大雅","0","20","20","4.14%","2017-11-7"
"兆豐-北高雄","15","0","15","3.11%","2017-11-7"
"富邦-嘉義","0","12","12","2.48%","2017-11-7"
"宏遠","13","0","13","2.69%","2017-11-7"
"元大-開元","0","11","11","2.28%","2017-11-7"
"凱基-復興","16","5","11","2.28%","2017-11-7"
"台新","0","10","10","2.07%","2017-11-7"
"中國信託","10","0","10","2.07%","2017-11-7"
"國票-安和","0","10","10","2.07%","2017-11-7"
"富邦","10","0","10","2.07%","2017-11-7"
"元富-大昌","0","10","10","2.07%","2017-11-7"
"摩根大通","10","0","10","2.07%","2017-11-7"
"元富-虎尾","0","10","10","2.07%","2017-11-7"
"群益金鼎-內湖","10","0","10","2.07%","2017-11-7"
"新光-桃園","0","10","10","2.07%","2017-11-7"
"元大-大松山","9","0","9","1.86%","2017-11-7"
"大慶-長榮","0","10","10","2.07%","2017-11-7"
"華南永昌","10","1","9","1.86%","2017-11-7"
"凱基-台北","0","8","8","1.66%","2017-11-7"
"華南永昌-南京","8","0","8","1.66%","2017-11-7"
"新光-台中","0","8","8","1.66%","2017-11-7"
"元大-新竹","8","1","7","1.45%","2017-11-7"
"國泰","0","8","8","1.66%","2017-11-7"
"富邦-經紀","48","7","41","8.49%","2017-11-8"
"玉山-大里","0","73","73","15.11%","2017-11-8"
"港商野村","29","0","29","6%","2017-11-8"
"永豐金-經紀部","2","26","24","4.97%","2017-11-8"
"富邦-嘉義","27","0","27","5.59%","2017-11-8"
"元大-華山","0","20","20","4.14%","2017-11-8"
"統一","23","0","23","4.76%","2017-11-8"
"華南永昌","0","20","20","4.14%","2017-11-8"
"元富","15","0","15","3.11%","2017-11-8"
"統一-板橋","0","12","12","2.48%","2017-11-8"
"港商德意志","13","0","13","2.69%","2017-11-8"
"日盛-復興","0","11","11","2.28%","2017-11-8"
"美林","16","5","11","2.28%","2017-11-8"
"元大","0","10","10","2.07%","2017-11-8"
"瑞士信貸","10","0","10","2.07%","2017-11-8"
"玉山-新莊","0","10","10","2.07%","2017-11-8"
"日盛","10","0","10","2.07%","2017-11-8"
"華南永昌-南京","0","10","10","2.07%","2017-11-8"
"元大-南屯","10","0","10","2.07%","2017-11-8"
"元大-大雅","0","10","10","2.07%","2017-11-8"
"華南永昌-中正","10","0","10","2.07%","2017-11-8"
"元富-板橋","0","10","10","2.07%","2017-11-8"
"大鼎","9","0","9","1.86%","2017-11-8"
"中國信託-雙和","0","10","10","2.07%","2017-11-8"
"(牛牛牛)亞證券","10","1","9","1.86%","2017-11-8"
"元大-承德","0","8","8","1.66%","2017-11-8"
"群益金鼎-經國","8","0","8","1.66%","2017-11-8"
"華南永昌-東昇","0","8","8","1.66%","2017-11-8"
"統一-新竹","8","1","7","1.45%","2017-11-8"
"元大-復北","0","8","8","1.66%","2017-11-8"
"新光","48","7","41","8.49%","2017-11-9"
"富邦-經紀","0","73","73","15.11%","2017-11-9"
"宏遠","29","0","29","6%","2017-11-9"
"富邦-嘉義","2","26","24","4.97%","2017-11-9"
"兆豐-北高雄","27","0","27","5.59%","2017-11-9"
"港商野村","0","20","20","4.14%","2017-11-9"
"玉山-大里","23","0","23","4.76%","2017-11-9"
"統一","0","20","20","4.14%","2017-11-9"
"凱基-信義","15","0","15","3.11%","2017-11-9"
"群益金鼎-大安","0","12","12","2.48%","2017-11-9"
"元大-南屯","13","0","13","2.69%","2017-11-9"
"美林","0","11","11","2.28%","2017-11-9"
"統一-板橋","16","5","11","2.28%","2017-11-9"
"日盛","0","10","10","2.07%","2017-11-9"
"富邦-陽明","10","0","10","2.07%","2017-11-9"
"富邦","0","10","10","2.07%","2017-11-9"
"永豐金-古亭","10","0","10","2.07%","2017-11-9"
"元大-八德","0","10","10","2.07%","2017-11-9"
"中國信託","10","0","10","2.07%","2017-11-9"
"永豐金-信義","0","10","10","2.07%","2017-11-9"
"國泰-館前","10","0","10","2.07%","2017-11-9"
"國泰","0","10","10","2.07%","2017-11-9"
"凱基-復興","9","0","9","1.86%","2017-11-9"
"永豐金-內湖","0","10","10","2.07%","2017-11-9"
"台新","10","1","9","1.86%","2017-11-9"
"大鼎","0","8","8","1.66%","2017-11-9"
"台新-台中","8","0","8","1.66%","2017-11-9"
"元大-承德","0","8","8","1.66%","2017-11-9"
"群益金鼎-海山","8","1","7","1.45%","2017-11-9"
"(牛牛牛)亞證券","0","8","8","1.66%","2017-11-9"
"群益金鼎-大安","48","7","41","8.49%","2017-11-10"
"富邦-經紀","0","73","73","15.11%","2017-11-10"
"永豐金-信義","29","0","29","6%","2017-11-10"
"凱基-七賢","2","26","24","4.97%","2017-11-10"
"瑞士信貸","27","0","27","5.59%","2017-11-10"
"國泰","0","20","20","4.14%","2017-11-10"
"港商野村","23","0","23","4.76%","2017-11-10"
"台新","0","20","20","4.14%","2017-11-10"
"群益金鼎-瑞豐","15","0","15","3.11%","2017-11-10"
"兆豐-永和","0","12","12","2.48%","2017-11-10"
"摩根大通","13","0","13","2.69%","2017-11-10"
"兆豐-北高雄","0","11","11","2.28%","2017-11-10"
"元大-八德","16","5","11","2.28%","2017-11-10"
"富邦-延吉","0","10","10","2.07%","2017-11-10"
"凱基-信義","10","0","10","2.07%","2017-11-10"
"元大-經紀部","0","10","10","2.07%","2017-11-10"
"群益金鼎-敦南","10","0","10","2.07%","2017-11-10"
"富邦-高雄","0","10","10","2.07%","2017-11-10"
"華南永昌-世貿","10","0","10","2.07%","2017-11-10"
"統一-桃園","0","10","10","2.07%","2017-11-10"
"日盛-板橋","10","0","10","2.07%","2017-11-10"
"亞東","0","10","10","2.07%","2017-11-10"
"永豐金-經紀部","9","0","9","1.86%","2017-11-10"
"永豐金-古亭","0","10","10","2.07%","2017-11-10"
"港商德意志","10","1","9","1.86%","2017-11-10"
"台灣摩根士丹利","0","8","8","1.66%","2017-11-10"
"美林","8","0","8","1.66%","2017-11-10"
"群益金鼎-三民","0","8","8","1.66%","2017-11-10"
"富邦-台北","8","1","7","1.45%","2017-11-10"
"富邦-世貿","0","8","8","1.66%","2017-11-10"
"元大-松山","48","7","41","8.49%","2017-11-13"
"港商野村","0","73","73","15.11%","2017-11-13"
"群益金鼎-大安","29","0","29","6%","2017-11-13"
"瑞士信貸","2","26","24","4.97%","2017-11-13"
"華南永昌-中正","27","0","27","5.59%","2017-11-13"
"美林","0","20","20","4.14%","2017-11-13"
"富邦-高雄","23","0","23","4.76%","2017-11-13"
"新光","0","20","20","4.14%","2017-11-13"
"元大-開元","15","0","15","3.11%","2017-11-13"
"群益金鼎-內湖","0","12","12","2.48%","2017-11-13"
"玉山","13","0","13","2.69%","2017-11-13"
"華南永昌-世貿","0","11","11","2.28%","2017-11-13"
"臺銀-新竹","16","5","11","2.28%","2017-11-13"
"港商德意志","0","10","10","2.07%","2017-11-13"
"凱基-信義","10","0","10","2.07%","2017-11-13"
"富邦-虎尾","0","10","10","2.07%","2017-11-13"
"兆豐-忠孝","10","0","10","2.07%","2017-11-13"
"陽信","0","10","10","2.07%","2017-11-13"
"兆豐-北高雄","10","0","10","2.07%","2017-11-13"
"兆豐-虎尾","0","10","10","2.07%","2017-11-13"
"統一-高雄","10","0","10","2.07%","2017-11-13"
"富邦-台北","0","10","10","2.07%","2017-11-13"
"永豐金-市政","9","0","9","1.86%","2017-11-13"
"凱基-士林","0","10","10","2.07%","2017-11-13"
"元大-館前","10","1","9","1.86%","2017-11-13"
"永豐金-府城","0","8","8","1.66%","2017-11-13"
"美商高盛","8","0","8","1.66%","2017-11-13"
"元富-四維","0","8","8","1.66%","2017-11-13"
"亞東","8","1","7","1.45%","2017-11-13"
"富邦-經紀","0","8","8","1.66%","2017-11-13"
"瑞士信貸","48","7","41","8.49%","2017-11-14"
"富邦-世貿","0","73","73","15.11%","2017-11-14"
"群益金鼎-大安","29","0","29","6%","2017-11-14"
"大展","2","26","24","4.97%","2017-11-14"
"華南永昌-中正","27","0","27","5.59%","2017-11-14"
"花旗環球","0","20","20","4.14%","2017-11-14"
"玉山-台中","23","0","23","4.76%","2017-11-14"
"永豐金-市政","0","20","20","4.14%","2017-11-14"
"元大-福營","15","0","15","3.11%","2017-11-14"
"群益金鼎-經國","0","12","12","2.48%","2017-11-14"
"港商德意志","13","0","13","2.69%","2017-11-14"
"日盛","0","11","11","2.28%","2017-11-14"
"臺銀-新竹","16","5","11","2.28%","2017-11-14"
"永豐金-博愛","0","10","10","2.07%","2017-11-14"
"台新-復興","10","0","10","2.07%","2017-11-14"
"永豐金-古亭","0","10","10","2.07%","2017-11-14"
"富邦-延吉","10","0","10","2.07%","2017-11-14"
"元大-八德","0","10","10","2.07%","2017-11-14"
"永豐金-三民","10","0","10","2.07%","2017-11-14"
"新光","0","10","10","2.07%","2017-11-14"
"國票-安和","10","0","10","2.07%","2017-11-14"
"富邦-桃園","0","10","10","2.07%","2017-11-14"
"台新","9","0","9","1.86%","2017-11-14"
"日盛-內湖","0","10","10","2.07%","2017-11-14"
"永豐金-府城","10","1","9","1.86%","2017-11-14"
"德信","0","8","8","1.66%","2017-11-14"
"華南永昌-東昇","8","0","8","1.66%","2017-11-14"
"凱基-市府","0","8","8","1.66%","2017-11-14"
"富邦-台南","8","1","7","1.45%","2017-11-14"
"兆豐-埔墘","0","8","8","1.66%","2017-11-14"
"永豐金-信義","48","7","41","8.49%","2017-11-15"
"港商野村","0","73","73","15.11%","2017-11-15"
"兆豐-北高雄","29","0","29","6%","2017-11-15"
"群益金鼎-大安","2","26","24","4.97%","2017-11-15"
"元大-松山","27","0","27","5.59%","2017-11-15"
"元大-大雅","0","20","20","4.14%","2017-11-15"
"華南永昌-中正","23","0","23","4.76%","2017-11-15"
"永豐金-南京","0","20","20","4.14%","2017-11-15"
"華南永昌-世貿","15","0","15","3.11%","2017-11-15"
"元大-八德","0","12","12","2.48%","2017-11-15"
"新光","13","0","13","2.69%","2017-11-15"
"玉山-台中","0","11","11","2.28%","2017-11-15"
"永豐金-市政","16","5","11","2.28%","2017-11-15"
"國泰-松江","0","10","10","2.07%","2017-11-15"
"中國信託","10","0","10","2.07%","2017-11-15"
"元大-開元","0","10","10","2.07%","2017-11-15"
"國票-長城","10","0","10","2.07%","2017-11-15"
"富邦-延吉","0","10","10","2.07%","2017-11-15"
"華南永昌-大安","10","0","10","2.07%","2017-11-15"
"永豐金-古亭","0","10","10","2.07%","2017-11-15"
"元大-新盛","10","0","10","2.07%","2017-11-15"
"兆豐-台南","0","10","10","2.07%","2017-11-15"
"凱基-信義","9","0","9","1.86%","2017-11-15"
"富邦-台北","0","10","10","2.07%","2017-11-15"
"台灣摩根士丹利","10","1","9","1.86%","2017-11-15"
"元大-羅東","0","8","8","1.66%","2017-11-15"
"富邦-世貿","8","0","8","1.66%","2017-11-15"
"國泰","0","8","8","1.66%","2017-11-15"
"元大-雙和","8","1","7","1.45%","2017-11-15"
"台新","0","8","8","1.66%","2017-11-15"
"元大-大雅","48","7","41","8.49%","2017-11-16"
"瑞士信貸","0","73","73","15.11%","2017-11-16"
"元大-松山","29","0","29","6%","2017-11-16"
"群益金鼎-大安","2","26","24","4.97%","2017-11-16"
"元大-開元","27","0","27","5.59%","2017-11-16"
"華南永昌-世貿","0","20","20","4.14%","2017-11-16"
"兆豐-北高雄","23","0","23","4.76%","2017-11-16"
"永豐金-博愛","0","20","20","4.14%","2017-11-16"
"富邦-經紀","15","0","15","3.11%","2017-11-16"
"港商德意志","0","12","12","2.48%","2017-11-16"
"元富-延平","13","0","13","2.69%","2017-11-16"
"華南永昌-竹北","0","11","11","2.28%","2017-11-16"
"富邦-台北","16","5","11","2.28%","2017-11-16"
"台中銀-豐原","0","10","10","2.07%","2017-11-16"
"兆豐-高雄","10","0","10","2.07%","2017-11-16"
"統一-高雄","0","10","10","2.07%","2017-11-16"
"台新","10","0","10","2.07%","2017-11-16"
"元大-新壢","0","10","10","2.07%","2017-11-16"
"富邦-羅東","10","0","10","2.07%","2017-11-16"
"大展","0","10","10","2.07%","2017-11-16"
"台中銀-員林","10","0","10","2.07%","2017-11-16"
"華南永昌-中正","0","10","10","2.07%","2017-11-16"
"康和-仁愛","9","0","9","1.86%","2017-11-16"
"永豐金-府城","0","10","10","2.07%","2017-11-16"
"大慶-長榮","10","1","9","1.86%","2017-11-16"
"元大-西門","0","8","8","1.66%","2017-11-16"
"新光-台中","8","0","8","1.66%","2017-11-16"
"土銀-玉里","0","8","8","1.66%","2017-11-16"
"元大-八德","8","1","7","1.45%","2017-11-16"
"美林","0","8","8","1.66%","2017-11-16"
"華南永昌-大安","48","7","41","8.49%","2017-11-17"
"群益金鼎-大安","0","73","73","15.11%","2017-11-17"
"永豐金-信義","29","0","29","6%","2017-11-17"
"永豐金-市政","2","26","24","4.97%","2017-11-17"
"瑞士信貸","27","0","27","5.59%","2017-11-17"
"元大-竹北","0","20","20","4.14%","2017-11-17"
"永豐金-博愛","23","0","23","4.76%","2017-11-17"
"華南永昌-竹北","0","20","20","4.14%","2017-11-17"
"港商德意志","15","0","15","3.11%","2017-11-17"
"永豐金-古亭","0","12","12","2.48%","2017-11-17"
"統一-高雄","13","0","13","2.69%","2017-11-17"
"新光","0","11","11","2.28%","2017-11-17"
"大慶-長榮","16","5","11","2.28%","2017-11-17"
"華南永昌-中正","0","10","10","2.07%","2017-11-17"
"永豐金-府城","10","0","10","2.07%","2017-11-17"
"合庫-鳳山","0","10","10","2.07%","2017-11-17"
"統一-內湖","10","0","10","2.07%","2017-11-17"
"永豐金-桃中","0","10","10","2.07%","2017-11-17"
"凱基-市政","10","0","10","2.07%","2017-11-17"
"兆豐-南門","0","10","10","2.07%","2017-11-17"
"大展","10","0","10","2.07%","2017-11-17"
"元大-鑫永和","0","10","10","2.07%","2017-11-17"
"中國信託","9","0","9","1.86%","2017-11-17"
"玉山","0","10","10","2.07%","2017-11-17"
"兆豐-新竹","10","1","9","1.86%","2017-11-17"
"元富-中原","0","8","8","1.66%","2017-11-17"
"元大-新盛","8","0","8","1.66%","2017-11-17"
"元大-桃園","0","8","8","1.66%","2017-11-17"
"日盛-板橋","8","1","7","1.45%","2017-11-17"
"元大-楊梅","0","8","8","1.66%","2017-11-17"
"群益金鼎-台北","48","7","41","8.49%","2017-11-20"
"元大-開元","0","73","73","15.11%","2017-11-20"
"日盛-大墩","29","0","29","6%","2017-11-20"
"統一","2","26","24","4.97%","2017-11-20"
"永豐金-高雄","27","0","27","5.59%","2017-11-20"
"新光","0","20","20","4.14%","2017-11-20"
"美林","23","0","23","4.76%","2017-11-20"
"群益金鼎-中港","0","20","20","4.14%","2017-11-20"
"瑞士信貸","15","0","15","3.11%","2017-11-20"
"元富-延平","0","12","12","2.48%","2017-11-20"
"富邦-台北","13","0","13","2.69%","2017-11-20"
"群益金鼎-東門","0","11","11","2.28%","2017-11-20"
"永豐金-桃園","16","5","11","2.28%","2017-11-20"
"大慶-長榮","0","10","10","2.07%","2017-11-20"
"元大-八德","10","0","10","2.07%","2017-11-20"
"台新-復興","0","10","10","2.07%","2017-11-20"
"凱基-總公司","10","0","10","2.07%","2017-11-20"
"台新","0","10","10","2.07%","2017-11-20"
"富邦-世貿","10","0","10","2.07%","2017-11-20"
"康和-仁愛","0","10","10","2.07%","2017-11-20"
"國泰","10","0","10","2.07%","2017-11-20"
"永豐金-三民","0","10","10","2.07%","2017-11-20"
"群益金鼎-內湖","9","0","9","1.86%","2017-11-20"
"國泰-板橋","0","10","10","2.07%","2017-11-20"
"凱基-復興","10","1","9","1.86%","2017-11-20"
"永豐金-中和","0","8","8","1.66%","2017-11-20"
"凱基-七賢","8","0","8","1.66%","2017-11-20"
"凱基-台北","0","8","8","1.66%","2017-11-20"
"富邦-高雄","8","1","7","1.45%","2017-11-20"
"港商野村","0","8","8","1.66%","2017-11-20"
"凱基-總公司","48","7","41","8.49%","2017-11-21"
"瑞士信貸","0","73","73","15.11%","2017-11-21"
"群益金鼎-大安","29","0","29","6%","2017-11-21"
"元大-大安","2","26","24","4.97%","2017-11-21"
"群益金鼎-台北","27","0","27","5.59%","2017-11-21"
"永豐金-桃園","0","20","20","4.14%","2017-11-21"
"元大-華山","23","0","23","4.76%","2017-11-21"
"華南永昌-南京","0","20","20","4.14%","2017-11-21"
"華南永昌-竹北","15","0","15","3.11%","2017-11-21"
"元大-新盛","0","12","12","2.48%","2017-11-21"
"元大-八德","13","0","13","2.69%","2017-11-21"
"美林","0","11","11","2.28%","2017-11-21"
"華南永昌-中正","16","5","11","2.28%","2017-11-21"
"華南永昌","0","10","10","2.07%","2017-11-21"
"港商野村","10","0","10","2.07%","2017-11-21"
"統一-桃園","0","10","10","2.07%","2017-11-21"
"群益金鼎-經國","10","0","10","2.07%","2017-11-21"
"華南永昌-台中","0","10","10","2.07%","2017-11-21"
"國票-安和","10","0","10","2.07%","2017-11-21"
"台灣摩根士丹利","0","10","10","2.07%","2017-11-21"
"永豐金-信義","10","0","10","2.07%","2017-11-21"
"永豐金-高雄","0","10","10","2.07%","2017-11-21"
"日盛-大墩","9","0","9","1.86%","2017-11-21"
"美商高盛","0","10","10","2.07%","2017-11-21"
"高橋","10","1","9","1.86%","2017-11-21"
"永豐金-博愛","0","8","8","1.66%","2017-11-21"
"兆豐-內湖","8","0","8","1.66%","2017-11-21"
"統一-板橋","0","8","8","1.66%","2017-11-21"
"統一","8","1","7","1.45%","2017-11-21"
"群益金鼎-海山","0","8","8","1.66%","2017-11-21"
"港商野村","48","7","41","8.49%","2017-11-22"
"元大","0","73","73","15.11%","2017-11-22"
"瑞士信貸","29","0","29","6%","2017-11-22"
"永豐金-高雄","2","26","24","4.97%","2017-11-22"
"元大-經紀部","27","0","27","5.59%","2017-11-22"
"港商德意志","0","20","20","4.14%","2017-11-22"
"富邦-嘉義","23","0","23","4.76%","2017-11-22"
"華南永昌-世貿","0","20","20","4.14%","2017-11-22"
"美商高盛","15","0","15","3.11%","2017-11-22"
"新光","0","12","12","2.48%","2017-11-22"
"臺銀-金山","13","0","13","2.69%","2017-11-22"
"永豐金-經紀部","0","11","11","2.28%","2017-11-22"
"富邦-世貿","16","5","11","2.28%","2017-11-22"
"凱基-中壢","0","10","10","2.07%","2017-11-22"
"日盛-復興","10","0","10","2.07%","2017-11-22"
"台新","0","10","10","2.07%","2017-11-22"
"凱基-市政","10","0","10","2.07%","2017-11-22"
"元大-北投","0","10","10","2.07%","2017-11-22"
"凱基-城中","10","0","10","2.07%","2017-11-22"
"統一-內湖","0","10","10","2.07%","2017-11-22"
"兆豐-中壢","10","0","10","2.07%","2017-11-22"
"永豐金-博愛","0","10","10","2.07%","2017-11-22"
"元大-嘉義","9","0","9","1.86%","2017-11-22"
"華南永昌-南京","0","10","10","2.07%","2017-11-22"
"元大-桃園","10","1","9","1.86%","2017-11-22"
"統一-台中","0","8","8","1.66%","2017-11-22"
"永豐金-敦南","8","0","8","1.66%","2017-11-22"
"元大-南京","0","8","8","1.66%","2017-11-22"
"日盛-大墩","8","1","7","1.45%","2017-11-22"
"富邦-木柵","0","8","8","1.66%","2017-11-22"
"元大-經紀部","48","7","41","8.49%","2017-11-23"
"富邦-高雄","0","73","73","15.11%","2017-11-23"
"凱基-復興","29","0","29","6%","2017-11-23"
"元大","2","26","24","4.97%","2017-11-23"
"國泰-松江","27","0","27","5.59%","2017-11-23"
"統一-內湖","0","20","20","4.14%","2017-11-23"
"富邦-延吉","23","0","23","4.76%","2017-11-23"
"元大-大安","0","20","20","4.14%","2017-11-23"
"日盛-復興","15","0","15","3.11%","2017-11-23"
"富邦-嘉義","0","12","12","2.48%","2017-11-23"
"華南永昌-大安","13","0","13","2.69%","2017-11-23"
"凱基-大里","0","11","11","2.28%","2017-11-23"
"凱基-中壢","16","5","11","2.28%","2017-11-23"
"群益金鼎-大安","0","10","10","2.07%","2017-11-23"
"華南永昌-中正","10","0","10","2.07%","2017-11-23"
"元大-水湳","0","10","10","2.07%","2017-11-23"
"臺銀-新竹","10","0","10","2.07%","2017-11-23"
"亞東","0","10","10","2.07%","2017-11-23"
"富邦-世貿","10","0","10","2.07%","2017-11-23"
"元大-嘉義","0","10","10","2.07%","2017-11-23"
"大鼎","10","0","10","2.07%","2017-11-23"
"永豐金-經紀部","0","10","10","2.07%","2017-11-23"
"凱基-台北","9","0","9","1.86%","2017-11-23"
"永豐金-嘉義","0","10","10","2.07%","2017-11-23"
"富邦-虎尾","10","1","9","1.86%","2017-11-23"
"土銀-新竹","0","8","8","1.66%","2017-11-23"
"元大-天母","8","0","8","1.66%","2017-11-23"
"凱基-市政","0","8","8","1.66%","2017-11-23"
"群益金鼎-台北","8","1","7","1.45%","2017-11-23"
"統一-板橋","0","8","8","1.66%","2017-11-23"
"港商德意志","48","7","41","8.49%","2017-11-24"
"港商野村","0","73","73","15.11%","2017-11-24"
"富邦-嘉義","29","0","29","6%","2017-11-24"
"凱基-復興","2","26","24","4.97%","2017-11-24"
"兆豐-中壢","27","0","27","5.59%","2017-11-24"
"永豐金-經紀部","0","20","20","4.14%","2017-11-24"
"華南永昌-中正","23","0","23","4.76%","2017-11-24"
"元大","0","20","20","4.14%","2017-11-24"
"群益金鼎-大安","15","0","15","3.11%","2017-11-24"
"元大-大安","0","12","12","2.48%","2017-11-24"
"新光","13","0","13","2.69%","2017-11-24"
"群益金鼎-經國","0","11","11","2.28%","2017-11-24"
"日盛-信義","16","5","11","2.28%","2017-11-24"
"永豐金-萬盛","0","10","10","2.07%","2017-11-24"
"富邦-建國","10","0","10","2.07%","2017-11-24"
"永豐金-內湖","0","10","10","2.07%","2017-11-24"
"國泰-館前","10","0","10","2.07%","2017-11-24"
"元大-水湳","0","10","10","2.07%","2017-11-24"
"日盛","10","0","10","2.07%","2017-11-24"
"凱基-和平","0","10","10","2.07%","2017-11-24"
"富邦-台北","10","0","10","2.07%","2017-11-24"
"富邦-虎尾","0","10","10","2.07%","2017-11-24"
"華南永昌","9","0","9","1.86%","2017-11-24"
"華南永昌-忠孝","0","10","10","2.07%","2017-11-24"
"華南永昌-大安","10","1","9","1.86%","2017-11-24"
"永豐金-三重","0","8","8","1.66%","2017-11-24"
"元大-大雅","8","0","8","1.66%","2017-11-24"
